,content
0,"Yeah, I really like this app, I've recommended it to friends. It's just easy, put your money in and they invest how you want and the fees are way low. I don't even use the round up feature, I just drop my paycheck in, and then I have another account for retirement that I add a small amount to weekly. Both accounts have grown way better than if the money was sitting in a savings account. Also the most important thing, to me, is you can choose to invest in ""green"" companies!"
1,Great ap for learning more and saving a little dough. Make sure you wont need the money at a moment's notice because you could end up taking a huge loss if the markets down when you have to take an unexpected withdrawal! 3.5 stars. I would give 4 but I lost nearly 12% of my total amount deposited when I sold my shares to liquidate my account in a pinch. Now that I think about it that might have been my fault. 3.7 Stars =)
2,Update: They fail at making it easy for you to close your account. Error message every hour of everyday. Signed my check overbto them and they refused to deposit into my account the same checks from social securityvthatvI WAS going yo have Direct Deposited. FORGET IT. Now im playing hell getting the little back I began depositing. ACORNS CANT BE TRUSTED. Can you say BBB Review?...Gonna paint a picture!
3,"I love the app! I've taken advantage of all they've had to offer, including the college saver! I've had to use my money a couple of times, didn't mind waiting the couple of days to recieve it, once I was able too, I started the investments over. I love watching my potential growth! I play around with the numbers all of the time! I've also, started saving $10 ( $5 into 2 diff accts) day, because of the daily compounded interest that you can earn!!"
4,Auto investing my spare change has been so simple with this app. It's actually been as easy as linking my account and going through the app to get to my online grocery shopping app. And it's really nice knowing I have a couple hundred set aside in case of emergency.
5,"So far really easy and very informative. I really like the idea of rounding up, as I just throw the change I get from spending cash in a jar at home that doesn't invest it. It just sits there in case of emergency. Thanks for being innovative Acorn Devs"
6,"I find the app easy to use, it does what it says it does. The customer service has been great to me they are very polite and answer through email really fast. If you want to withdraw you have to understand they have to sell your assets and can't do it in a snap its not possible. Any advisor is this way. I'm just sorry I didn't start using it a long time ago."
7,"I like the why it works by investing slowly over time. I don't have to really think about it. A portfolio is prepared for me. I would recommend this app everyone, because your small change becomes your investment for your future."
8,Great thing to just set and forget about. Takes the stress off investing with the market being so crazy right now. Had the app for almost a year now and they've given me a pretty consistent return and I'm very happy with it.
9,"Very clean and easy to use; nothing you don't need and everything you do. I really like Acorns. Great app to save short, medium, and long term."
10,"So far so good. Less than 2 months and I've already saved/invested more than I'd anticipated. I like the invest the change option. You don't realize how much money you spend until, in less than a week, your acorns account is $15 deeper just from your save the change contributions."
11,"Pretty good app, I've put in 350 and I've gotten a profit of 7.13 since starting in March. This app is good for all but the extreme ends of the wealth spectrum since it has a recurring investment tool so you can customize how much and when you put money in."
12,The introductory process explains a broad knowledge base simplistically. It's easy to navigate and use. The screening process is a bit tedious though(have to confirm your identityand all that.) Pretty nice and works like a savings account.
13,"Great way to invest with a little money at a time. You choose the amount down to the cent. Very nice. However, more details about what is actually being done with the money and how to use the app would be helpful."
14,"As a full-time employee and student, Acorns has been great for me. I don't have much time to focus on investing, and don't make quite enough yet to hire a financial advisor. I used to save all of my change in a jar and cash in at the end of the year. Now I put my change to work each day by using round-ups, and I'm very happy with the results so far!"
15,I love this app. The time I needed the money back I got it in less than a week. Great way to save for retirement. Its such small increments that I don't miss it. At the same time it does add up; just be consistent. Even $5 a week adds up!
16,I've really enjoyed this app as it's been one of the easiest ways for me to save money. As simple as it is I've finally been able to put aside some savings using it. I'm notoriously bad at saving money so it's been nice!
17,Have been using for over a year. Great app and way to save my spare change. I dont even miss it! Thanks Acorns for helping me grow my tree.
18,"Acorns is a terrific onramp to the world of investing. I use the Moderately Aggressive setting and have been extremely satisfied with the results. Years later, I still have my original Acorns account. I call it my ""Change Bucket"" and it continues to serve me well. Easily worth the price of admission."
19,"Love the freedom to invest and save, all with the same product. Set it to auto deposit and all I have to do is check my balances."
20,Started Acorns because I didn't know how to save or budget. Saved alot more than I figured I would with auto withdrawal. Downside it does take a few days for deposits to be put in and taken out so theirs the risk. This is for the beginner investors who know nothing about the market. Wish the fees for membership would go down also. Maybe make a minimum of what can be held in the account for a discount. Time=Money. DIVIDENDS Love them. Wonder if they still plant trees for every 1$ we put in.
21,"Love this app and the options it offers. Helps in a convienient way to save! Y'all saved the day, I had an emergency and was able to transfer funds! Amazing"
22,"I have to say that I am pleasantly surprised at how well this app is doing. I admit that I was hesitant at first, but after a co worker mention how great they are, I jumped on board and have been impressed."
23,"The Acorns app has been such a great tool for saving and growing my extra money and forgetting about. Because of this, I have been able to have emergency funds and even side money for investing."
24,"Great if your young, especially. Saving money or just budgeting with a spend account, it is the easiest way to be financially smart without even thinking about it."
25,Not bad. I didn't even noticed the difference inmy bank account and it feels like free money. Worth it to me. Already got $57.00. I'm sure it'll come in handy some day.
26,"Not bad, real simple wish I had more control over where the investments went but its a solid platform."
27,It could do better the investment charts slow lagging and you can't see what stock have gone up or down. Okay waiting for a updated interface soon...
28,I have been able to save thousands with this app in just a couple of years. Not having the money in my account and the easy round ups and other ways to deposit money make it easy!
29,Wish I had this app sooner. It's simple to setup how you want your portfolio to look and work for you
30,"This is a great app. I had my doubts initially because I like to manage my own investments, but I wanted to keep an open mind. I'm digging it! You folks do a great job of making it easy. I decided on $5 a day (with a few lump sum contributions) and taking my lunch to work oppose to buying. I also decided to use it as a ""Savings Account"" because the banks bank's interest rate is a joke. There's almost $1000 in there in just a few months! Boom Baby!!"
31,"I love the automation of this app, great for my friends and family who dont want to think about investing!"
