,content
0,"Had a terrible experience with their fraud department team. Horrible. Beyond that, the process from transferring money from your bank to it reflecting in your invest account is wayy too long. 6 days? Also, I can't for the life of me understand why there isn't a feature to transfer money from your Spend account to your Invest account? As much as I like the clean UI, and simplicity of the app [in regards to navigation], too many little things makes this a horrible experience."
1,Unbelievable. I attempted at least 10 times to start a account and it kept- email not correct so I rechecked my phone and yep it was. so I went through all this nonsense about confirmation numbers. It Finally worked. Then it said my password was not correct. I went through everything and tried over and over. I Uninstalled..Then I tried it out again and couldn't even change it to a new password. This is too much hassle for me. I will just look for a different application that wants me.
2,You just lost a loyal customer!! I try logging into my account and it says it's locked and needs further verification. No one can tell me why my account is locked.. I've sent countless verification forms via email and now they want to 3 way my bank in which I have to give personal info over the phone with them listening in!!?!?!?! Screw that! Put the money bank into the account in which it came from and close me out!! I'm done and beyond pissed!!!!!!
3,No starts if I could Took money from me and now won't respond. Not to mention I didn't complete my account or give it a day to start taking for investing Costumer support absolutely sucks. Will take your money. I usually don't leave bad reviews but this is beyond ridiculous. Taking money I don't even have yet without permission. Bulls***. QUIT TAKING MY MONEY. F***
4,"Very shady customer service. I've talked to numerous people from customer service, all of them telling me different things, and none solving my issue or giving me an answer. The people i referred went through the same issue with customer service and had to talk to several people. Growing increasingly frustrated not only for not getting help, but for being told everything was good then being told something different after the 7/3 promo ended."
5,"Terrible customer service, and God forbid you get there spend account card from them prepare to wait for a month or more . The other issue is if you lose your card and you have to get a replacement expect to wait another 2 months to receive a new one. Do not get Acorn save yourself the headache ."
6,"Do not use this. I've had an account for maybe 5 years. I am low income student and had to switch to not depositing money. So far, it says my net gain is 200. Then I realized they somehow switched to charging me 2 dollars a month, and I don't even have acorns later set up. I go to switch to the lite plan (which is $1/mo) and the page freezes at the end every time, so I can't tell if the request is even submitted. On top of that, I'm not sure what they take when you close the account..."
7,"Well unfortunately this issue has happened more than one time acorns failed to cash my check, I work paycheck to paycheck I need every last dollar to pay my rent, they make you write on the back or ""acorns Mobile deposit only"" and then you sit and wait two to three days for them to send an email saying we hit a snag cash in your check and no information thus far, now that made my check unusable and I had to wait to have another check reissued... No longer trusting acorns with my money!"
8,Had to change my review from 5 stars to one because they will not return email about transfers. The transfer was requested over a month ago and still hasn't happened. I liked acorns but wanted to have a little more control over my investments. I would have recommended them for completely hands off investors until this happened. But to not respond to 4 straight emails is rediculous. And I did receive an email saying that they had received my communication and would respond within 24 hours.
9,"It's an interesting idea but their support is terrible, special offers are denied even if you do everything right on your end, and the UI can be very frustrating to navigate."
10,I have been trying to get the app to verify my bank account so I can start the round up but it always says there is something wrong with the server or when I proceed to verify it says it deposited some small amounts to my account but nothing is there. I uninstalled and installed again and nothing helped. I was really excited about getting this app to start investing but I'm just dissapointed now.
11,"Terrible customer service. Having the same issue with no resolution for over 1 year. Multiple calls, dozens of emails and nothing."
12,I am very pissed. I was curious and went through this app but never said yes or agreed to be charged but it still pulled money from my bank account. Shame on you for doing this. I will be calling and telling my bank to stop payment.
